,title,genre,budget,runtime,year,month,revenue
0,Avatar,Action,237000000,162.0,2009,12,2787965087
1,Pirates of the Caribbean: At World's End,Adventure,300000000,169.0,2007,5,961000000
2,Spectre,Action,245000000,148.0,2015,10,880674609
3,The Dark Knight Rises,Action,250000000,165.0,2012,7,1084939099
4,John Carter,Action,260000000,132.0,2012,3,284139100
5,Spider-Man 3,Fantasy,258000000,139.0,2007,5,890871626
6,Tangled,Animation,260000000,100.0,2010,11,591794936
7,Avengers: Age of Ultron,Action,280000000,141.0,2015,4,1405403694
8,Harry Potter and the Half-Blood Prince,Adventure,250000000,153.0,2009,7,933959197
9,Batman v Superman: Dawn of Justice,Action,250000000,151.0,2016,3,873260194
10,Superman Returns,Adventure,270000000,154.0,2006,6,391081192
11,Quantum of Solace,Adventure,200000000,106.0,2008,10,586090727
12,Pirates of the Caribbean: Dead Man's Chest,Adventure,200000000,151.0,2006,6,1065659812
13,The Lone Ranger,Action,255000000,149.0,2013,7,89289910
14,Man of Steel,Action,225000000,143.0,2013,6,662845518
15,The Chronicles of Narnia: Prince Caspian,Adventure,225000000,150.0,2008,5,419651413
16,The Avengers,Science Fiction,220000000,143.0,2012,4,1519557910
17,Pirates of the Caribbean: On Stranger Tides,Adventure,380000000,136.0,2011,5,1045713802
18,Men in Black 3,Action,225000000,106.0,2012,5,624026776
19,The Hobbit: The Battle of the Five Armies,Action,250000000,144.0,2014,12,956019788
20,The Amazing Spider-Man,Action,215000000,136.0,2012,6,752215857
21,Robin Hood,Action,200000000,140.0,2010,5,310669540
22,The Hobbit: The Desolation of Smaug,Adventure,250000000,161.0,2013,12,958400000
23,The Golden Compass,Adventure,180000000,113.0,2007,12,372234864
24,King Kong,Adventure,207000000,187.0,2005,12,550000000
25,Titanic,Drama,200000000,194.0,1997,11,1845034188
26,Captain America: Civil War,Adventure,250000000,147.0,2016,4,1153304495
27,Battleship,Thriller,209000000,131.0,2012,4,303025485
28,Jurassic World,Action,150000000,124.0,2015,6,1513528810
29,Skyfall,Action,200000000,143.0,2012,10,1108561013
30,Spider-Man 2,Action,200000000,127.0,2004,6,783766341
31,Iron Man 3,Action,200000000,130.0,2013,4,1215439994
32,Alice in Wonderland,,200000000,108.0,2010,3,1025491110
33,X-Men: The Last Stand,Adventure,210000000,104.0,2006,5,459359555
34,Monsters University,Animation,200000000,104.0,2013,6,743559607
35,Transformers: Revenge of the Fallen,Science Fiction,150000000,150.0,2009,6,836297228
36,Transformers: Age of Extinction,Science Fiction,210000000,165.0,2014,6,1091405097
37,Oz: The Great and Powerful,Fantasy,200000000,130.0,2013,3,491868548
38,The Amazing Spider-Man 2,Action,200000000,142.0,2014,4,705717432
39,TRON: Legacy,Adventure,170000000,125.0,2010,12,400062763
40,Cars 2,Animation,200000000,106.0,2011,6,559852396
41,Green Lantern,Adventure,200000000,114.0,2011,6,219851172
42,Toy Story 3,Animation,200000000,103.0,2010,6,1066969703
43,Terminator Salvation,Action,200000000,115.0,2009,5,371353001
44,Furious 7,Action,190000000,137.0,2015,4,1506249360
45,World War Z,Action,200000000,116.0,2013,6,531865000
46,X-Men: Days of Future Past,Action,250000000,131.0,2014,5,747862775
47,Star Trek Into Darkness,Action,190000000,132.0,2013,5,467365246
48,Jack the Giant Slayer,Action,195000000,114.0,2013,2,197687603
49,The Great Gatsby,Drama,105000000,143.0,2013,5,351040419
50,Prince of Persia: The Sands of Time,Adventure,150000000,116.0,2010,5,335154643
51,Pacific Rim,Action,180000000,131.0,2013,7,407602906
52,Transformers: Dark of the Moon,Action,195000000,154.0,2011,6,1123746996
53,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000,122.0,2008,5,786636033
54,The Good Dinosaur,Adventure,175000000,93.0,2015,11,331926147
55,Brave,Animation,185000000,93.0,2012,6,538983207
56,Star Trek Beyond,Action,185000000,122.0,2016,7,343471816
57,WALL·E,Animation,180000000,98.0,2008,6,521311860
58,Rush Hour 3,Action,140000000,91.0,2007,8,258022233
59,2012,Action,200000000,158.0,2009,10,769653595
60,A Christmas Carol,Animation,200000000,96.0,2009,11,325233863
61,Jupiter Ascending,Science Fiction,176000003,124.0,2015,2,183987723
62,The Legend of Tarzan,Action,180000000,109.0,2016,6,356743061
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,143.0,2005,12,748806957
64,X-Men: Apocalypse,Science Fiction,178000000,144.0,2016,5,543934787
65,The Dark Knight,Drama,185000000,152.0,2008,7,1004558444
66,Up,Animation,175000000,96.0,2009,5,735099082
67,Monsters vs Aliens,Animation,175000000,94.0,2009,3,381509870
68,Iron Man,Action,140000000,126.0,2008,4,585174222
69,Hugo,Adventure,170000000,126.0,2011,11,185770160
70,Wild Wild West,Action,170000000,106.0,1999,6,222104681
71,The Mummy: Tomb of the Dragon Emperor,Adventure,145000000,112.0,2008,7,401128639
72,Suicide Squad,Action,175000000,123.0,2016,8,745000000
73,Evan Almighty,Fantasy,175000000,96.0,2007,6,173000000
74,Edge of Tomorrow,Action,178000000,113.0,2014,5,370541256
75,Waterworld,Adventure,175000000,135.0,1995,7,264218220
76,G.I. Joe: The Rise of Cobra,Adventure,175000000,118.0,2009,8,302469017
77,Inside Out,Drama,175000000,94.0,2015,6,857611174
78,The Jungle Book,,175000000,106.0,2016,4,966550600
79,Iron Man 2,Adventure,200000000,124.0,2010,4,623933331
80,Snow White and the Huntsman,Adventure,170000000,127.0,2012,5,396600000
81,Maleficent,Fantasy,180000000,97.0,2014,5,758539785
82,Dawn of the Planet of the Apes,Science Fiction,170000000,130.0,2014,6,710644566
83,The Lovers,Action,27000000,109.0,2015,2,0
84,47 Ronin,Drama,175000000,119.0,2013,12,150962475
85,Captain America: The Winter Soldier,Action,170000000,136.0,2014,3,714766572
86,Shrek Forever After,Comedy,165000000,93.0,2010,5,752600867
87,Tomorrowland,Adventure,190000000,130.0,2015,5,209154322
88,Big Hero 6,Adventure,165000000,102.0,2014,10,652105443
89,Wreck-It Ralph,,165000000,108.0,2012,11,471222889
90,The Polar Express,Adventure,165000000,100.0,2004,11,305875730
91,Independence Day: Resurgence,Action,165000000,120.0,2016,6,389681935
92,How to Train Your Dragon,Fantasy,165000000,98.0,2010,3,494878759
93,Terminator 3: Rise of the Machines,Action,200000000,109.0,2003,7,435000000
94,Guardians of the Galaxy,Action,170000000,121.0,2014,7,773328629
95,Interstellar,Adventure,165000000,169.0,2014,11,675120017
96,Inception,Action,160000000,148.0,2010,7,825532764
97,Shin Godzilla,Action,15000000,120.0,2016,7,77000000
98,The Hobbit: An Unexpected Journey,Adventure,250000000,169.0,2012,11,1021103568
99,The Fast and the Furious,Action,38000000,106.0,2001,6,207283925
100,The Curious Case of Benjamin Button,Fantasy,150000000,166.0,2008,11,333932083
101,X-Men: First Class,Action,160000000,132.0,2011,5,353624124
102,The Hunger Games: Mockingjay - Part 2,Action,160000000,137.0,2015,11,653428261
103,The Sorcerer's Apprentice,Fantasy,150000000,109.0,2010,7,215283742
104,Poseidon,Adventure,160000000,99.0,2006,5,181674817
105,Alice Through the Looking Glass,Fantasy,170000000,113.0,2016,5,299370084
