,title,year,budget_2013$,intgross_2013$
0,21 &amp; Over,2013,13000000,42195766.0
1,Dredd 3D,2012,45658735,41467257.0
2,12 Years a Slave,2013,20000000,158607035.0
3,2 Guns,2013,61000000,132493015.0
4,42,2013,40000000,95020213.0
5,47 Ronin,2013,225000000,145803842.0
6,A Good Day to Die Hard,2013,92000000,304249198.0
7,About Time,2013,12000000,87324746.0
8,Admission,2013,13000000,18007317.0
9,After Earth,2013,130000000,244373198.0
10,American Hustle,2013,40000000,249484909.0
11,August: Osage County,2013,25000000,50304874.0
12,Beautiful Creatures,2013,50000000,55940671.0
13,Blue Jasmine,2013,18000000,68447831.0
14,Captain Phillips,2013,55000000,218743570.0
15,Carrie,2013,30000000,85001659.0
16,Cloudy with a Chance of Meatballs 2,2013,78000000,271725448.0
17,Despicable Me 2,2013,76000000,970766005.0
18,Don Jon,2013,5500000,26377704.0
19,Elysium,2013,120000000,286192091.0
20,Ender&#39;s Game,2013,110000000,89737191.0
21,Epic,2013,100000000,268418682.0
22,Escape from Planet Earth,2013,40000000,66454811.0
23,Escape Plan,2013,70000000,103813103.0
24,Evil Dead,2013,17000000,97402049.0
25,Fast and Furious 6,2013,160000000,788128122.0
26,Frozen,2013,150000000,1004550114.0
27,G.I. Joe: Retaliation,2013,140000000,371923060.0
28,Gangster Squad,2013,60000000,104100903.0
29,Gloria,2013,30000000,4967493.0
30,Gravity,2013,110000000,708714796.0
31,Grown Ups 2,2013,80000000,247023808.0
32,Hansel &amp; Gretel: Witch Hunters,2013,50000000,225703475.0
33,Her,2013,23000000,33029713.0
34,Identity Thief,2013,35000000,176269721.0
35,Insidious: Chapter 2,2013,5000000,161911222.0
36,Iron Man 3,2013,200000000,1212692272.0
37,Jack the Giant Slayer,2013,195000000,197387603.0
38,Kick-Ass 2,2013,28000000,60839197.0
39,Last Vegas,2013,28000000,112914167.0
40,Lee Daniels&#39; The Butler,2013,30000000,151513429.0
41,Machete Kills,2013,2000000,9408161.0
42,Mama,2013,15000000,148041253.0
43,Man of Steel,2013,225000000,687999518.0
44,Nebraska,2013,12000000,17482517.0
45,Now You See Me,2013,75000000,351723989.0
46,Oblivion,2013,120000000,287537983.0
47,Olympus Has Fallen,2013,70000000,150562164.0
48,Oz the Great and Powerful,2013,200000000,489570996.0
49,Pacific Rim,2013,190000000,411002906.0
50,Pain &amp; Gain,2013,26000000,81275291.0
51,Parker,2013,35000000,46346651.0
52,Peeples,2013,15000000,9177065.0
53,Percy Jackson: Sea of Monsters,2013,90000000,200859554.0
54,Prisoners,2013,46000000,113402302.0
55,R.I.P.D.,2013,130000000,79019947.0
56,Red 2,2013,84000000,137162560.0
57,Riddick,2013,38000000,92425135.0
58,Runner Runner,2013,30000000,62616646.0
59,Rush,2013,38000000,43047624.0
60,Safe Haven,2013,28000000,93943623.0
61,Saving Mr. Banks,2013,35000000,100734332.0
62,Side Effects,2013,30000000,60288363.0
63,Star Trek Into Darkness,2013,190000000,466978661.0
64,Texas Chainsaw 3D,2013,20000000,39093317.0
65,The Big Wedding,2013,32500000,35770721.0
66,The Book Thief,2013,19000000,62045525.0
67,The Call,2013,13000000,58938768.0
68,The Conjuring,2013,20000000,318000141.0
69,The Counselor,2013,25000000,70373715.0
70,The Croods,2013,135000000,573068425.0
71,The Family,2013,30000000,51078541.0
72,The Fifth Estate,2013,26000000,6154172.0
74,The Great Gatsby,2013,190000000,351040419.0
75,The Hangover part 3,2013,103000000,362000072.0
76,The Heat,2013,43000000,230781587.0
77,The Hobbit: The Desolation of Smaug,2013,250000000,937397516.0
78,The Host,2013,50000000,58188384.0
79,The Hunger Games: Catching Fire,2013,130000000,857088260.0
80,The Incredible Burt Wonderstone,2013,32000000,24255957.0
81,The Internship,2013,58000000,93672764.0
82,The Last Exorcism Part II,2013,4000000,18541236.0
83,The Lone Ranger,2013,275000000,259989910.0
84,The Mortal Instruments: City of Bones,2013,60000000,75965567.0
85,The Purge,2013,3000000,91100541.0
86,The Smurfs 2,2013,110000000,348545841.0
87,The To Do List,2013,1500000,3491669.0
88,The Way Way Back,2013,5000000,26161443.0
89,The Wolf of Wall Street,2013,100000000,365702857.0
90,The Wolverine,2013,115000000,416456852.0
91,The World&#39;s End,2013,20000000,46578821.0
92,This Is the End,2013,32000000,126294264.0
93,Thor: The Dark World,2013,170000000,631674790.0
94,Trance,2013,16000000,22594052.0
95,Turbo,2013,135000000,283828130.0
96,Warm Bodies,2013,30000000,116643610.0
97,We&#39;re the Millers,2013,37000000,270000119.0
98,White House Down,2013,150000000,205440387.0
99,World War Z,2013,190000000,539559711.0
100,Abraham Lincoln: Vampire Hunter,2012,68488103,116804318.0
101,Act of Valor,2012,12175663,83704673.0
102,Amour,2012,9841994,26295088.0
103,Anna Karenina,2012,49717290,71771007.0
104,Argo,2012,45151416,224540219.0
105,Battleship,2012,212059460,308594933.0
106,Beasts of the Southern Wild,2012,1826349,21388640.0
107,Blue Like Jazz,2012,1217566,603728.0
108,Brave,2012,187708135,562725176.0
109,Bullet to the Head,2012,55805121,13760036.0
110,Chernobyl Diaries,2012,1014639,38951995.0
111,Chronicle,2012,12175663,128935373.0
112,Cloud Atlas,2012,103493134,127863295.0
113,Contraband,2012,25365964,99847390.0
114,Django Unchained,2012,101463857,431600549.0
115,Flight,2012,31453796,164140491.0
116,Frankenweenie,2012,39570904,82338719.0
117,Hannibal,2012,88273555,355225246.0
118,Hotel Transylvania,2012,86244278,364480509.0
119,Jack Reacher,2012,60878314,220552732.0
120,Jagten,2012,3500503,697244.0
121,John Carter,2012,279025606,286917566.0
122,Killing Them Softly,2012,15219578,37783896.0
123,Les Miserables,2012,65951507,448493475.0
124,Life of Pi,2012,121756628,616887080.0
125,Lincoln,2012,65951507,276997302.0
126,Madagascar 3: Europe&#39;s Most Wanted,2012,147122592,757855127.0
127,Men in Black III,2012,218147292,633967639.0
128,Mirror Mirror,2012,86244278,171080229.0
129,Moonrise Kingdom,2012,16234217,64949517.0
130,Much Ado About Nothing,2012,8117109,22879428.0
131,One for the Money,2012,42614820,36727096.0
132,Paranormal Activity 4,2012,5073193,144884139.0
133,ParaNorman,2012,60878314,109742304.0
134,Parental Guidance,2012,25365964,121927729.0
135,People Like Us,2012,16234217,12613776.0
136,Pitch Perfect,2012,17248856,117019460.0
137,Premium Rush,2012,35512350,31852752.0
138,Red Dawn,2012,65951507,48869204.0
139,Red Tails,2012,58849037,51102777.0
140,Rise of the Guardians,2012,147122592,311393491.0
141,Rock of Ages,2012,71024700,50852278.0
142,Safe,2012,33483073,42102643.0
143,Safety Not Guaranteed,2012,760979,4477791.0
144,Seven Psychopaths,2012,13697621,23836212.0
145,Silent Hill: Revelation 3D,2012,20292771,48646439.0
146,Silver Linings Playbook,2012,21307410,230644998.0
147,Sinister,2012,3043916,89012016.0
