,year,budget_2013$
0,2013,13000000
1,2012,45658735
2,2013,20000000
3,2013,61000000
4,2013,40000000
5,2013,225000000
6,2013,92000000
7,2013,12000000
8,2013,13000000
9,2013,130000000
10,2013,40000000
11,2013,25000000
12,2013,50000000
13,2013,18000000
14,2013,55000000
15,2013,30000000
16,2013,78000000
17,2013,76000000
18,2013,5500000
19,2013,120000000
20,2013,110000000
21,2013,100000000
22,2013,40000000
23,2013,70000000
24,2013,17000000
25,2013,160000000
26,2013,150000000
27,2013,140000000
28,2013,60000000
29,2013,30000000
30,2013,110000000
31,2013,80000000
32,2013,50000000
33,2013,23000000
34,2013,35000000
35,2013,5000000
36,2013,200000000
37,2013,195000000
38,2013,28000000
39,2013,28000000
40,2013,30000000
41,2013,2000000
42,2013,15000000
43,2013,225000000
44,2013,12000000
45,2013,75000000
46,2013,120000000
47,2013,70000000
48,2013,200000000
49,2013,190000000
50,2013,26000000
51,2013,35000000
52,2013,15000000
53,2013,90000000
54,2013,46000000
55,2013,130000000
56,2013,84000000
57,2013,38000000
58,2013,30000000
59,2013,38000000
60,2013,28000000
61,2013,35000000
62,2013,30000000
63,2013,190000000
64,2013,20000000
65,2013,32500000
66,2013,19000000
67,2013,13000000
68,2013,20000000
69,2013,25000000
70,2013,135000000
71,2013,30000000
72,2013,26000000
74,2013,190000000
75,2013,103000000
76,2013,43000000
77,2013,250000000
78,2013,50000000
79,2013,130000000
80,2013,32000000
81,2013,58000000
82,2013,4000000
83,2013,275000000
84,2013,60000000
85,2013,3000000
86,2013,110000000
87,2013,1500000
88,2013,5000000
89,2013,100000000
90,2013,115000000
91,2013,20000000
92,2013,32000000
93,2013,170000000
94,2013,16000000
95,2013,135000000
96,2013,30000000
97,2013,37000000
98,2013,150000000
99,2013,190000000
100,2012,68488103
101,2012,12175663
102,2012,9841994
103,2012,49717290
104,2012,45151416
105,2012,212059460
106,2012,1826349
107,2012,1217566
108,2012,187708135
109,2012,55805121
110,2012,1014639
111,2012,12175663
112,2012,103493134
113,2012,25365964
114,2012,101463857
115,2012,31453796
116,2012,39570904
117,2012,88273555
118,2012,86244278
119,2012,60878314
120,2012,3500503
121,2012,279025606
122,2012,15219578
123,2012,65951507
124,2012,121756628
125,2012,65951507
126,2012,147122592
127,2012,218147292
128,2012,86244278
129,2012,16234217
130,2012,8117109
131,2012,42614820
132,2012,5073193
133,2012,60878314
134,2012,25365964
135,2012,16234217
136,2012,17248856
137,2012,35512350
138,2012,65951507
139,2012,58849037
140,2012,147122592
141,2012,71024700
142,2012,33483073
143,2012,760979
144,2012,13697621
145,2012,20292771
146,2012,21307410
147,2012,3043916
148,2012,202927713
149,2012,172488556
150,2012,10146386
151,2012,5073193
152,2012,33483073
153,2012,60878
154,2012,50731928
155,2012,68488103
156,2012,223220484
157,2012,60878314
158,2012,279025606
159,2012,1014639
160,2012,65951507
161,2012,101463857
162,2012,25365964
163,2012,253659641
164,2012,81171085
165,2012,40585543
166,2012,15219578
167,2012,38048946
168,2012,55805121
169,2012,15219578
170,2012,138193773
171,2012,8866236
172,2012,55805121
173,2012,15219578
174,2012,6087831
175,2012,12175663
176,2012,21814729
177,2012,126829821
178,2012,71024700
179,2012,32975753
180,2012,38048946
181,2012,19278133
182,2012,152195785
183,2012,167415363
184,2012,53268525
185,2011,28999342
186,2011,8285526
187,2011,20713816
188,2011,4142763
189,2011,20713816
190,2011,181246
191,2011,5178454
192,2011,88033717
193,2011,13463980
194,2011,19678125
195,2011,72498355
196,2011,17606743
197,2011,4660609
198,2011,33659951
199,2011,144996710
200,2011,207138157
201,2011,932122
202,2011,41427631
203,2011,20713816
204,2011,62141447
205,2011,10356908
206,2011,168817598
208,2011,18642434
209,2011,38320559
210,2011,51784539
211,2011,15535362
212,2011,129461348
213,2011,41427631
214,2011,24856579
215,2011,31070724
216,2011,207138157
217,2011,37284868
218,2011,31070724
219,2011,129461348
220,2011,23820888
221,2011,7249836
222,2011,1864243
223,2011,3107072
224,2011,65248520
225,2011,36249178
226,2011,186424342
227,2011,51784539
228,2011,77676809
229,2011,36249178
230,2011,5696299
231,2011,103569079
232,2011,46606085
233,2011,7249836
234,2011,82855263
235,2011,828553
236,2011,72498355
237,2011,155353618
238,2011,5696299
239,2011,258923
240,2011,27963651
241,2011,14499671
242,2011,3521349
243,2011,155353618
244,2011,1035691
245,2011,9735493
246,2011,31070724
247,2011,150175164
248,2011,51784539
249,2011,56962993
250,2011,26927960
251,2011,25892270
252,2011,1035691
253,2011,5178454
254,2011,5178454
255,2011,41427631
256,2011,258922697
257,2011,62141447
258,2011,134639802
259,2011,139818256
260,2011,113925987
261,2011,43499013
262,2011,4142763
263,2011,8285526
264,2011,93212171
265,2011,96319243
266,2011,6731990
267,2011,6214145
268,2011,18642434
269,2011,33142105
270,2011,25892270
271,2011,77676809
272,2011,51784539
273,2011,4919531
274,2011,51991677
275,2011,134639802
276,2011,16571053
277,2011,10356908
278,2011,31070724
279,2011,36042039
280,2011,3107072
281,2011,1035691
