title,budget,runtime,original_language,release_date,revenue,genre
Avatar,237000000,162.0,en,2009-12-10,2787965087,Action
Pirates of the Caribbean: At World's End,300000000,169.0,en,2007-05-19,961000000,Adventure
Spectre,245000000,148.0,en,2015-10-26,880674609,Action
The Dark Knight Rises,250000000,165.0,en,2012-07-16,1084939099,Action
John Carter,260000000,132.0,en,2012-03-07,284139100,Action
Spider-Man 3,258000000,139.0,en,2007-05-01,890871626,Fantasy
Tangled,260000000,100.0,en,2010-11-24,591794936,Animation
Avengers: Age of Ultron,280000000,141.0,en,2015-04-22,1405403694,Action
Harry Potter and the Half-Blood Prince,250000000,153.0,en,2009-07-07,933959197,Adventure
Batman v Superman: Dawn of Justice,250000000,151.0,en,2016-03-23,873260194,Action
Superman Returns,270000000,154.0,en,2006-06-28,391081192,Adventure
Quantum of Solace,200000000,106.0,en,2008-10-30,586090727,Adventure
Pirates of the Caribbean: Dead Man's Chest,200000000,151.0,en,2006-06-20,1065659812,Adventure
The Lone Ranger,255000000,149.0,en,2013-07-03,89289910,Action
Man of Steel,225000000,143.0,en,2013-06-12,662845518,Action
The Chronicles of Narnia: Prince Caspian,225000000,150.0,en,2008-05-15,419651413,Adventure
The Avengers,220000000,143.0,en,2012-04-25,1519557910,Science Fiction
Pirates of the Caribbean: On Stranger Tides,380000000,136.0,en,2011-05-14,1045713802,Adventure
Men in Black 3,225000000,106.0,en,2012-05-23,624026776,Action
The Hobbit: The Battle of the Five Armies,250000000,144.0,en,2014-12-10,956019788,Action
The Amazing Spider-Man,215000000,136.0,en,2012-06-27,752215857,Action
Robin Hood,200000000,140.0,en,2010-05-12,310669540,Action
The Hobbit: The Desolation of Smaug,250000000,161.0,en,2013-12-11,958400000,Adventure
The Golden Compass,180000000,113.0,en,2007-12-04,372234864,Adventure
King Kong,207000000,187.0,en,2005-12-14,550000000,Adventure
Titanic,200000000,194.0,en,1997-11-18,1845034188,Drama
Captain America: Civil War,250000000,147.0,en,2016-04-27,1153304495,Adventure
Battleship,209000000,131.0,en,2012-04-11,303025485,Thriller
Jurassic World,150000000,124.0,en,2015-06-09,1513528810,Action
Skyfall,200000000,143.0,en,2012-10-25,1108561013,Action
Spider-Man 2,200000000,127.0,en,2004-06-25,783766341,Action
Iron Man 3,200000000,130.0,en,2013-04-18,1215439994,Action
Alice in Wonderland,200000000,108.0,en,2010-03-03,1025491110,
X-Men: The Last Stand,210000000,104.0,en,2006-05-24,459359555,Adventure
Monsters University,200000000,104.0,en,2013-06-20,743559607,Animation
Transformers: Revenge of the Fallen,150000000,150.0,en,2009-06-19,836297228,Science Fiction
Transformers: Age of Extinction,210000000,165.0,en,2014-06-25,1091405097,Science Fiction
Oz: The Great and Powerful,200000000,130.0,en,2013-03-07,491868548,Fantasy
The Amazing Spider-Man 2,200000000,142.0,en,2014-04-16,705717432,Action
TRON: Legacy,170000000,125.0,en,2010-12-10,400062763,Adventure
Cars 2,200000000,106.0,en,2011-06-11,559852396,Animation
Green Lantern,200000000,114.0,en,2011-06-16,219851172,Adventure
Toy Story 3,200000000,103.0,en,2010-06-16,1066969703,Animation
Terminator Salvation,200000000,115.0,en,2009-05-20,371353001,Action
Furious 7,190000000,137.0,en,2015-04-01,1506249360,Action
World War Z,200000000,116.0,en,2013-06-20,531865000,Action
X-Men: Days of Future Past,250000000,131.0,en,2014-05-15,747862775,Action
Star Trek Into Darkness,190000000,132.0,en,2013-05-05,467365246,Action
Jack the Giant Slayer,195000000,114.0,en,2013-02-27,197687603,Action
The Great Gatsby,105000000,143.0,en,2013-05-10,351040419,Drama
Prince of Persia: The Sands of Time,150000000,116.0,en,2010-05-19,335154643,Adventure
Pacific Rim,180000000,131.0,en,2013-07-11,407602906,Action
Transformers: Dark of the Moon,195000000,154.0,en,2011-06-28,1123746996,Action
Indiana Jones and the Kingdom of the Crystal Skull,185000000,122.0,en,2008-05-21,786636033,Adventure
The Good Dinosaur,175000000,93.0,en,2015-11-14,331926147,Adventure
Brave,185000000,93.0,en,2012-06-21,538983207,Animation
Star Trek Beyond,185000000,122.0,en,2016-07-07,343471816,Action
WALL·E,180000000,98.0,en,2008-06-22,521311860,Animation
Rush Hour 3,140000000,91.0,en,2007-08-08,258022233,Action
2012,200000000,158.0,en,2009-10-10,769653595,Action
A Christmas Carol,200000000,96.0,en,2009-11-04,325233863,Animation
Jupiter Ascending,176000003,124.0,en,2015-02-04,183987723,Science Fiction
The Legend of Tarzan,180000000,109.0,en,2016-06-29,356743061,Action
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,143.0,en,2005-12-07,748806957,Adventure
X-Men: Apocalypse,178000000,144.0,en,2016-05-18,543934787,Science Fiction
The Dark Knight,185000000,152.0,en,2008-07-16,1004558444,Drama
Up,175000000,96.0,en,2009-05-13,735099082,Animation
Monsters vs Aliens,175000000,94.0,en,2009-03-19,381509870,Animation
Iron Man,140000000,126.0,en,2008-04-30,585174222,Action
