,dbn,name,num_test_takers,boro,total_students,graduation_rate,attendance_rate,college_career_rate,reading_avg,math_avg,writing_score
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,M,171,0.66,0.87,0.36,355.0,404.0,363.0
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,M,465,0.9,0.93,0.7,383.0,423.0,366.0
2,01M450,EAST SIDE COMMUNITY SCHOOL,70.0,M,683,0.92,0.94,0.77,377.0,402.0,370.0
3,01M509,MARTA VALLE HIGH SCHOOL,44.0,M,148,0.74,0.79,0.49,390.0,433.0,384.0
4,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,M,1734,0.97,0.95,0.85,522.0,574.0,525.0
5,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,M,588,0.99,0.95,0.98,624.0,604.0,628.0
6,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,M,165,0.91,0.86,0.62,395.0,400.0,387.0
7,02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,M,378,0.91,0.9,0.67,409.0,393.0,392.0
8,02M294,ESSEX STREET ACADEMY,53.0,M,340,0.83,0.87,0.74,394.0,384.0,378.0
9,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.0,M,391,0.7,0.82,0.54,374.0,375.0,362.0
10,02M298,PACE HIGH SCHOOL,85.0,M,537,0.86,0.87,0.77,423.0,438.0,432.0
11,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48.0,M,356,0.59,0.83,0.47,404.0,449.0,416.0
12,02M303,"FACING HISTORY SCHOOL, THE",76.0,M,382,0.76,0.82,0.55,353.0,358.0,340.0
13,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50.0,M,307,0.84,0.84,0.61,375.0,388.0,385.0
14,02M308,LOWER MANHATTAN ARTS ACADEMY,40.0,M,329,0.81,0.88,0.58,403.0,392.0,405.0
15,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42.0,M,232,0.75,0.83,0.49,373.0,370.0,384.0
16,02M374,GRAMERCY ARTS HIGH SCHOOL,60.0,M,491,0.81,0.84,0.57,391.0,391.0,394.0
17,02M376,NYC ISCHOOL,92.0,M,457,0.98,0.93,0.91,473.0,483.0,479.0
18,02M392,MANHATTAN BUSINESS ACADEMY,,M,423,0.86,0.87,0.77,nan,nan,nan
19,02M393,BUSINESS OF SPORTS SCHOOL,,M,426,0.82,0.84,0.63,nan,nan,nan
20,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,M,327,0.81,0.82,0.72,nan,nan,nan
21,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263.0,M,1194,0.8,0.85,0.67,465.0,493.0,461.0
22,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54.0,M,492,0.87,0.92,0.75,492.0,465.0,467.0
23,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94.0,M,565,0.93,0.93,0.74,509.0,490.0,523.0
24,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104.0,M,460,1.0,0.97,0.94,496.0,563.0,518.0
25,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114.0,M,498,0.97,0.94,0.87,537.0,590.0,550.0
26,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66.0,M,750,0.99,0.94,0.79,517.0,533.0,515.0
27,02M414,N.Y.C. MUSEUM SCHOOL,103.0,M,450,1.0,0.94,0.9,468.0,492.0,459.0
28,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127.0,M,541,1.0,0.96,0.9,572.0,594.0,592.0
